tables_record_id,tables_created_at,tables_updated_at,id,_createdTime,Business Opportunity,Days Since Capture__specialValue,Insight Type,Key Finding
01JZKHNHKEZGE124YZ4PF8A6FQ,2025-07-07T22:56:21.102000+00:00,2025-07-07T22:56:21.099384+00:00,recN674iNB4PHAuTf,7/7/25,"Bridge between traditional business development and AI-powered sports analytics, positioning for leadership in sports technology sector",NaN,Career Achievement Analysis,"Austin Humphrey is a Memphis-raised, Texas-educated professional who transitioned from Northwestern Mutual's Power of 10 achievement to a revenue strategy role at Spectrum Reach, while pursuing an MS at Full Sail University. He combines analytical frameworks from International Relations & Global Studies with systematic client acquisition and sports industry expertise. Key features include top 10 performance at Northwestern Mutual, current revenue strategy role at Spectrum Reach, Full Sail University MS program, sports client specialization, and AI-powered portfolio development. Status: Active Professional Development."
01JZKHNHKEZGE124YZ4PF8A6FR,2025-07-07T22:56:21.102000+00:00,2025-07-07T22:56:21.099384+00:00,rec37BaYyYEyTqIPZ,7/7/25,Licensing frameworks to sports organizations and performance consulting firms for competitive advantage analysis,NaN,Research Framework,"Three proprietary frameworks for analyzing elite performance: Decision Velocity Model (maps neurological cascade from stimulus to response), Pattern Recognition Hierarchy (analyzes how elite performers filter signal from noise), and Cognitive Load Distribution (reveals mental resource allocation under pressure). Key features include decision velocity mapping, pattern recognition analysis, cognitive load optimization, performance bottleneck identification, and elite performer analysis."
01JZKHNHKEZGE124YZ4PF8A6FS,2025-07-07T22:56:21.102000+00:00,2025-07-07T22:56:21.099384+00:00,rec2lO37B2UN5OWqZ,7/7/25,High potential for professional sports teams and coaching staff seeking data-driven player analysis tools,NaN,,
01JZKHNHKEZGE124YZ4PF8A6FT,2025-07-07T22:56:21.102000+00:00,2025-07-07T22:56:21.099384+00:00,rec4FH1EUec15kJwq,7/7/25,,,AI Development Framework,"A comprehensive quickstart template for implementing OpenAI Assistants API with streaming, function calling, file search, and code interpretation. Includes multiple example implementations such as chat, function calling, file search, and film study analytics. Key features: streaming chat interface, function calling for weather data, file upload and search, code interpreter, assistant management, and sports film study analytics."
01JZKHNHKFBNH7AEBAYYEX3SYN,2025-07-07T22:56:21.103000+00:00,2025-07-07T22:56:21.099384+00:00,recqQlfgHBGJjTNYj,7/7/25,,,,"Blaze Intelligence Portfolio is a comprehensive AI-powered portfolio website for Austin Humphrey, featuring cognitive performance analytics, sports intelligence, real-time data visualization, AI consultant capabilities, code generation lab, and analytics dashboard. It leverages Gemini 2.0 Flash API for conversational AI and project generation, targeting recruiters, clients, and sports organizations."
01JZKHNHKFBNH7AEBAYYEX3SYP,2025-07-07T22:56:21.103000+00:00,2025-07-07T22:56:21.099384+00:00,recU8EXHQm6BwXUHa,7/7/25,,,,"Tracking AI interactions, code generations, and visitor engagement metrics for the Blaze Intelligence website."
01JZKHNHKFBNH7AEBAYYEX3SYQ,2025-07-07T22:56:21.103000+00:00,2025-07-07T22:56:21.099384+00:00,rec1uDzAQXi019gu9,7/7/25,,NaN,Animation System Intelligence,"Critical Animation Unlock Thresholds for Competitive Advantage:

DRIBBLE ANIMATIONS:
• Elite Dribble Packages: 85 Ball Handle (key benchmark)
• Steph Curry Style: 91 Speed With Ball + <6'5"" height (meta guards)
• Kyrie Irving Packages: 90+ Ball Handle (elite moves)
• De'Aaron Fox Style: 90 Speed With Ball + <6'4"" height (fastest)

DUNK ANIMATIONS:
• Pro Contact Dunks: 87 Driving Dunk + 75 Vertical (essential finishing)
• Elite Contact Dunks: 96+ Driving Dunk + 82+ Vertical (posterizing)
• Small Contact Dunks: 86-93 Driving Dunk + 75-80 Vertical (<6'5"" only)
• Elite Big Man Contacts: 90 Standing Dunk + 70 Vertical (centers)

SHOOTING ANIMATIONS:
• Elite Guard Bases: 90+ Three-Point + <6'5"" height (quick release)
• Wing/Big Bases: 77+ Three-Point (height-appropriate options)
• Deep Shooter Bases: 89+ Three-Point with Limitless Range

STRATEGIC OPTIMIZATION:
Height determines animation pools - choose height first to access desired moves
92+ Ball Handle unlocks elite dribbling (guards/wings only)
87+ Driving Dunk with proper vertical enables contact finishing
Animation tiers function as hidden attribute requirements beyond badges

Championship Framework: Animation access often more impactful than raw attribute numbers"
01JZKHNHKFBNH7AEBAYYEX3SYR,2025-07-07T22:56:21.103000+00:00,2025-07-07T22:56:21.099384+00:00,recLHW1blLK3bzPbF,7/7/25,,NaN,Badge System Intelligence,"Critical Badge Thresholds for Championship Builds:

ELITE TIER BADGES:
• Limitless Range: 83 Bronze → 93 Gold → 96 HoF → 99 Legend (All heights)
• Unpluckable: 70 Bronze → 92 Gold → 96 HoF → 99 Legend (Universal)  
• Challenger: 71 Bronze → 92 Gold → 95 HoF → 99 Legend (5'9""-6'11"")
• Anchor: 68 Bronze → 88 Gold → 92 HoF → 99 Legend (6'6""-7'3"")

STRATEGIC BREAKPOINTS:
• 92 Ball Handle = Gold Unpluckable (Essential for guards)
• 93 Three-Point = Gold Limitless Range (Deep shooting capability)
• 87 Driving Dunk + 75 Vertical = Pro Contact Dunks (Finishing advantage)
• 96 Steal = HoF Glove (Elite defensive impact)

Badge Elevator System: Seasons 1-4 (+2 levels), Seasons 5-8 (+3 levels to Legend)
Cap Breakers: 15 total upgrades, max +5 per attribute, count toward badge requirements

Competitive Intelligence: Badge progression is usage-based and never regresses. Legend tier requires 98-99 attributes but provides massive performance advantage."
01JZKHNHKFBNH7AEBAYYEX3SYS,2025-07-07T22:56:21.103000+00:00,2025-07-07T22:56:21.099384+00:00,rec9JXgxhaEic7nyX,7/7/25,,,Build Guide,"Two-Way Stretch Big (PF) is a modern floor-spacing power forward build with S-Tier meta ranking and high competitive viability. It balances shooting and defense, offers strong rebounding, and unlocks key animations for both offense and defense. This build enables five-out offense while maintaining interior defensive presence, making it essential for modern team compositions."
01JZKHNHKFBNH7AEBAYYEX3SYT,2025-07-07T22:56:21.103000+00:00,2025-07-07T22:56:21.099384+00:00,recjMkW4ErP6aS991,7/7/25,,NaN,,"Build: All-Around Demigod (SF) - Complete versatile wing player
Meta Tier: S-Tier, Rec Viability: 10/10
Dimensions: 6'7""-6'9"", 205-215 lbs, balanced wingspan
Attribute Focus: [18, 22, 18, 21] - Balanced excellence across all categories
Badge Priorities: Gold Deadeye, Silver Handles for Days, Gold Clamps, Gold Posterizer
Animation Unlocks: Pro Dribble Sigs (85 BH), Catch and Shoot animations
Competitive Edge: Do-it-all wing that adapts to any team need and game situation
Strategic Value: Ultimate glue player with no exploitable weaknesses
Market Position: Highest versatility rating among all archetype categories"
